TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,SEASON,CONFERENCE,TOP 4,TOP 8
Utah Jazz,82,40,42,0.488,48.7,97.7,36.1,80.4,44.9,8.5,23.9,35.5,17.1,23,74.4,10.7,32.5,43.2,19,14.9,7.7,5.2,4.7,20.2,19.9,1.8,2015-16,Western,No,No
Orlando Magic,82,35,47,0.427,48.5,102.1,39.5,86.8,45.5,7.8,22.2,35,15.2,20.1,75.7,10.3,33,43.3,23.6,14.1,8.2,5.1,5.5,20.7,18.3,-1.6,2015-16,Eastern,No,No
Denver Nuggets,82,33,49,0.402,48.4,101.9,37.7,85.4,44.2,8,23.7,33.8,18.5,24.1,76.6,11.5,33.1,44.6,22.7,14.7,7.4,4.8,6.3,21,20.9,-3.1,2015-16,Western,No,No
Milwaukee Bucks,82,33,49,0.402,48.4,99,38.4,82.2,46.7,5.4,15.6,34.5,17,22.7,74.7,10.5,31.2,41.7,23.1,15.2,8.2,5.8,5.6,20.7,19.5,-4.2,2015-16,Eastern,No,No
Sacramento Kings,82,33,49,0.402,48.3,106.6,40,86.4,46.4,8,22.4,35.9,18.5,25.5,72.5,10.6,33.7,44.2,24.5,16.2,8.9,4.5,5.3,20.4,22,-2.5,2015-16,Western,No,No
New York Knicks,82,32,50,0.39,48.3,98.4,36.9,84,43.9,7.4,21.5,34.6,17.2,21.4,80.5,10.4,34,44.4,20.5,13.4,5.7,5.7,4.2,19.7,18.5,-2.7,2015-16,Eastern,No,No
New Orleans Pelicans,82,30,52,0.366,48.2,102.7,38.5,85.9,44.8,8.6,23.8,36,17.3,22.2,77.6,9.5,33.1,42.6,22.2,13.4,7.7,4.2,5.2,20.9,19.9,-3.8,2015-16,Western,No,No
Minnesota Timberwolves,82,29,53,0.354,48.5,102.4,37.7,81.3,46.4,5.5,16.4,33.8,21.4,27,79.2,10,31.5,41.6,23.4,15,8,4.6,5.2,20.7,21.6,-3.5,2015-16,Western,No,No
Phoenix Suns,82,23,59,0.28,48.1,100.9,37.2,85.6,43.5,9,25.8,34.8,17.5,23.2,75.1,11.5,33.3,44.8,20.7,17.2,7.7,3.8,5.5,22.7,21.6,-6.7,2015-16,Western,No,No
Brooklyn Nets,82,21,61,0.256,48.2,98.6,38.2,84.4,45.3,6.5,18.4,35.2,15.7,20.7,75.7,10.5,31.9,42.4,22.3,14.8,7.6,4,5.2,18,18.4,-7.4,2015-16,Eastern,No,No
Los Angeles Lakers,82,17,65,0.207,48.1,97.3,35.1,84.8,41.4,7.8,24.6,31.7,19.3,24.7,78.1,10.7,32.3,43,18,13.7,7.2,4.1,5.6,20.3,19.2,-9.6,2015-16,Western,No,No
Philadelphia 76ers,82,10,72,0.122,48.3,97.4,36.2,84,43.1,9.3,27.5,33.9,15.7,22.6,69.4,9.5,31.8,41.2,21.5,16.4,8.3,6,5.7,21.7,19.2,-10.2,2015-16,Eastern,No,No
Golden State Warriors,82,67,15,0.817,48.1,110,41.6,87,47.8,10.8,27,39.8,16,20.8,76.8,10.4,34.3,44.7,27.4,14.5,9.3,6,3.6,19.9,18.8,10.1,2014-15,Western,Yes,Yes
Atlanta Hawks,82,60,22,0.732,48.1,102.5,38.1,81.7,46.6,10,26.2,38,16.5,21.2,77.8,8.7,31.8,40.6,25.7,14.2,9.1,4.6,4.9,17.8,19.6,5.4,2014-15,Eastern,Yes,Yes
Houston Rockets,82,56,26,0.683,48.3,103.9,37,83.3,44.4,11.4,32.7,34.8,18.6,26,71.5,11.7,32,43.7,22.2,16.7,9.5,5,5.3,22,21.1,3.4,2014-15,Western,Yes,Yes
Los Angeles Clippers,82,56,26,0.683,48.1,106.7,39.4,83.3,47.3,10.1,26.9,37.6,17.9,25.2,71,9.6,33.1,42.6,24.8,12.3,7.8,5,3,21.3,21.5,6.6,2014-15,Western,No,Yes
Memphis Grizzlies,82,55,27,0.671,48.5,98.3,37.8,82.5,45.8,5.2,15.2,33.9,17.6,22.8,77.3,10.4,32.1,42.6,21.7,13.3,8.5,4.2,5.2,19.1,20.3,3.2,2014-15,Western,No,Yes
San Antonio Spurs,82,55,27,0.671,48.7,103.2,39.1,83.6,46.8,8.3,22.5,36.7,16.7,21.4,78,9.8,33.8,43.6,24.4,14,8,5.4,4.4,19.1,19.7,6.2,2014-15,Western,No,No
Cleveland Cavaliers,82,53,29,0.646,48.2,103.1,37.7,82.2,45.8,10.1,27.5,36.7,17.7,23.6,75.1,11.1,31.9,43,22.1,14.3,7.4,4.1,4.5,18.4,20.5,4.5,2014-15,Eastern,Yes,Yes
Portland Trail Blazers,82,51,31,0.622,48.4,102.8,38.7,86,45,9.8,27.2,36.2,15.5,19.4,80.1,10.7,35.1,45.9,21.9,13.6,6.4,4.5,3.6,18.2,18.7,4.2,2014-15,Western,No,No
Chicago Bulls,82,50,32,0.61,48.5,100.8,36.6,82.9,44.2,7.9,22.3,35.3,19.7,25.2,78.3,11.7,34,45.7,21.7,14,6.3,5.8,5.4,18.2,21.2,3,2014-15,Eastern,No,Yes
Dallas Mavericks,82,50,32,0.61,48.5,105.2,39.7,85.8,46.3,8.9,25.4,35.2,16.9,22.5,75.2,10.5,31.8,42.3,22.5,13,8.1,4.5,3.8,20,22.1,2.9,2014-15,Western,No,No
Toronto Raptors,82,49,33,0.598,48.4,104,37.9,83.3,45.5,8.9,25.1,35.2,19.3,24.6,78.7,10.7,30.8,41.5,20.7,12.9,7.5,4.4,5,20.9,20.3,3.1,2014-15,Eastern,No,No
Washington Wizards,82,46,36,0.561,48.7,98.5,38.3,82.8,46.2,6.1,16.8,36,15.9,21.4,74.2,10.5,34.2,44.7,24,15,7.3,4.6,4.3,20.8,19.6,0.7,2014-15,Eastern,No,Yes
New Orleans Pelicans,82,45,37,0.549,48.2,99.4,37.9,82.9,45.7,7.1,19.3,37,16.4,21.8,75.1,11.5,32,43.5,22,13.3,6.7,6.2,5.8,18.7,18.7,0.8,2014-15,Western,No,No
Oklahoma City Thunder,82,45,37,0.549,48.4,104,38.8,86.8,44.7,7.7,22.7,33.9,18.6,24.6,75.4,12.8,34.7,47.5,20.5,14.7,7.3,5.5,4.6,22.3,20.4,2.2,2014-15,Western,No,No
Milwaukee Bucks,82,41,41,0.5,48.6,97.8,37.6,82,45.9,6.6,18.3,36.3,16,21.1,75.7,10.7,31.4,42.1,23.6,16.7,9.6,4.9,4.8,22.1,20.1,0.4,2014-15,Eastern,No,No
Boston Celtics,82,40,42,0.488,48.5,101.4,38.9,87.9,44.3,8,24.6,32.7,15.4,20.5,75.4,11.1,32.7,43.8,24.5,13.8,8.2,3.6,5.3,21.2,18.8,0.2,2014-15,Eastern,No,No
Phoenix Suns,82,39,43,0.476,48.5,102.4,38.8,85.8,45.2,8.5,25,34.1,16.4,21.5,76,10.9,32.2,43.2,20.2,15.1,8.5,4.7,4.1,21.3,20.3,-0.9,2014-15,Western,No,No
Brooklyn Nets,82,38,44,0.463,48.6,98,37.4,83,45.1,6.6,19.9,33.1,16.6,22.2,74.8,10.3,32,42.4,20.9,13.8,7,4.1,4.5,19.3,20,-2.9,2014-15,Eastern,No,No
Indiana Pacers,82,38,44,0.463,48.4,97.3,36.6,83.2,43.9,7.5,21.2,35.2,16.7,22.2,75.6,10.4,34.4,44.9,21.4,14,6.2,4.6,4.7,21.2,21.4,0.3,2014-15,Eastern,No,No
Utah Jazz,82,38,44,0.463,48.1,95.1,35.4,79.2,44.7,7.4,21.7,34.3,17,23.5,72.1,12,31.9,44,19.9,15.3,7.6,6,4.7,19.3,19.6,0.2,2014-15,Western,No,No
Miami Heat,82,37,45,0.451,48.1,94.7,35.2,77.2,45.6,6.8,20.2,33.5,17.5,23.7,74.1,9.1,30,39.1,19.8,14.8,7.8,4.5,4.4,20,20.9,-2.6,2014-15,Eastern,No,No
Charlotte Hornets,82,33,49,0.402,48.5,94.2,35.5,84.5,42,6.1,19.1,31.8,17,22.8,74.8,10,34.1,44.1,20.2,11.9,6.1,5.5,5.4,18.2,20.8,-3.2,2014-15,Eastern,No,No
Detroit Pistons,82,32,50,0.39,48.4,98.5,37.1,85.8,43.2,8.6,24.9,34.4,15.8,22.4,70.3,12.8,32.1,44.9,21.6,13.4,7.6,4.7,4.8,19,19.3,-1,2014-15,Eastern,No,No
Denver Nuggets,82,30,52,0.366,48.5,101.5,37.8,87.3,43.3,8,24.8,32.5,17.8,24.3,73.4,12.3,32.4,44.7,21.8,14.2,7.8,4.5,6.1,23,20.7,-3.5,2014-15,Western,No,No
Sacramento Kings,82,29,53,0.354,48.4,101.3,36.7,80.7,45.5,5.6,16.5,34.1,22.3,29.3,76.2,10.9,33.3,44.2,20.3,16.3,6.7,4,6.2,20.7,23.9,-3.7,2014-15,Western,No,No
Orlando Magic,82,25,57,0.305,48.2,95.7,37.5,82.8,45.3,6.8,19.5,34.7,13.9,19.1,72.9,10,31.8,41.8,20.6,14.9,7.9,3.8,5.4,20.9,17.9,-5.7,2014-15,Eastern,No,No
Los Angeles Lakers,82,21,61,0.256,48.6,98.5,37.2,85.6,43.5,6.5,18.9,34.4,17.5,23.6,74.1,11.6,32.3,43.9,20.9,13.2,7,4.5,4.8,21.2,19.4,-6.8,2014-15,Western,No,No
Philadelphia 76ers,82,18,64,0.22,48.3,92,33.7,82.6,40.8,8.4,26.3,32,16.1,23.8,67.6,11.9,30.9,42.9,20.5,17.7,9.6,5.9,5.5,21.7,20.2,-9,2014-15,Eastern,No,No
New York Knicks,82,17,65,0.207,48.4,91.9,35.1,82,42.8,6.8,19.7,34.7,14.8,19.2,76.9,10.6,29.8,40.4,21.3,14.7,7,4.7,4.3,21.6,19.1,-9.3,2014-15,Eastern,No,No
Minnesota Timberwolves,82,16,66,0.195,48.3,97.8,36.4,83.2,43.8,5,14.9,33.2,20,25.7,77.6,11.6,29.3,40.9,21.6,15,8.1,4,5.5,19.2,21.4,-8.8,2014-15,Western,No,No
San Antonio Spurs,82,62,20,0.756,48.2,105.4,40.6,83.5,48.6,8.5,21.4,39.7,15.7,20,78.5,9.3,34,43.3,25.2,14.4,7.4,5.1,4.6,18.2,19.3,7.7,2013-14,Western,Yes,Yes
Oklahoma City Thunder,82,59,23,0.72,48.3,106.2,39,82.7,47.1,8.1,22.4,36.1,20.2,25,80.6,10.8,33.9,44.7,21.9,15.3,8.3,6.1,3.6,22.7,20.4,6.3,2013-14,Western,Yes,Yes
Los Angeles Clippers,82,57,25,0.695,48.2,107.9,39.1,82.5,47.4,8.5,24,35.2,21.2,29.1,73,10.5,32.5,43,24.6,13.9,8.6,4.8,3.5,21.5,23.4,7,2013-14,Western,No,Yes
Indiana Pacers,82,56,26,0.683,48.2,96.7,36,80.2,44.9,6.7,18.8,35.7,18.1,23.3,77.9,10.2,34.5,44.7,20.1,15.1,6.7,5.4,4.6,20.4,21.9,4.4,2013-14,Eastern,Yes,Yes
Houston Rockets,82,54,28,0.659,48.4,107.7,38,80.5,47.2,9.5,26.6,35.8,22.1,31.1,71.2,11.2,34.1,45.3,21.4,16.1,7.6,5.6,5.6,20.4,24.3,4.6,2013-14,Western,No,No
Miami Heat,82,54,28,0.659,48.5,102.2,38.3,76.5,50.1,8.1,22.3,36.4,17.5,23,76,7.6,29.2,36.9,22.5,14.8,8.9,4.5,3.1,19.5,20.4,4.8,2013-14,Eastern,Yes,Yes
Portland Trail Blazers,82,54,28,0.659,48.4,106.7,39.1,87,45,9.4,25.3,37.2,19.1,23.5,81.5,12.5,34,46.4,23.2,13.7,5.5,4.7,3.7,19.2,20.7,4,2013-14,Western,No,Yes
Golden State Warriors,82,51,31,0.622,48.4,104.3,39.5,85.4,46.2,9.4,24.8,38,15.9,21.1,75.3,10.9,34.4,45.3,23.3,15.2,7.8,5,4.2,21.8,19.3,4.8,2013-14,Western,No,No
Memphis Grizzlies,82,50,32,0.61,48.3,96.1,38.1,82,46.4,4.9,14,35.3,15.1,20.3,74.1,11.6,30.8,42.4,21.9,13.7,7.7,4.6,5,19.1,18.9,1.6,2013-14,Western,No,No
Dallas Mavericks,82,49,33,0.598,48.4,104.8,39.6,83.6,47.4,8.8,22.9,38.4,16.8,21.1,79.5,10.2,30.7,40.9,23.6,13.5,8.6,4.3,3.5,20,19.9,2.4,2013-14,Western,No,No
Chicago Bulls,82,48,34,0.585,48.6,93.7,34.7,80.2,43.2,6.2,17.8,34.8,18.1,23.3,77.9,11.4,32.7,44.1,22.7,14.9,7.2,5.2,6,19.1,20.9,1.9,2013-14,Eastern,No,No
Phoenix Suns,82,48,34,0.585,48.2,105.2,38.7,83.5,46.3,9.3,25.1,37.2,18.5,24.4,75.8,11.3,31.7,43,19.1,15.3,8.4,4.6,4,21.9,21.3,2.6,2013-14,Western,No,No
Toronto Raptors,82,48,34,0.585,48.7,101.3,36.5,81.9,44.5,8.7,23.4,37.2,19.6,25.1,78.2,11.4,31.1,42.5,21.2,14.1,7,4.2,4.3,23,22.1,3.2,2013-14,Eastern,No,No
Brooklyn Nets,82,44,38,0.537,48.5,98.5,35.7,77.9,45.9,8.6,23.4,36.9,18.4,24.4,75.3,8.8,29.4,38.1,20.9,14.5,8.6,3.8,4.1,21.7,20.8,-1,2013-14,Eastern,No,Yes
Washington Wizards,82,44,38,0.537,48.9,100.7,38.7,84.4,45.9,7.9,20.8,38,15.3,20.9,73.1,10.8,31.4,42.2,23.3,14.7,8.1,4.6,3.9,20.4,19.5,1.3,2013-14,Eastern,No,Yes
Charlotte Bobcats,82,43,39,0.524,48.5,96.9,36.3,82.1,44.2,6.3,17.9,35.1,18,24.4,73.7,9.5,33.2,42.7,21.7,12.3,6.1,5.1,5.1,18.2,20.9,-0.2,2013-14,Eastern,No,No
Minnesota Timberwolves,82,40,42,0.488,48.4,106.9,38.9,87.5,44.4,7.3,21.4,34.1,21.8,28.1,77.8,12.5,32.2,44.7,23.9,13.9,8.8,3.6,5.6,18.3,23.6,2.7,2013-14,Western,No,No
Atlanta Hawks,82,38,44,0.463,48.4,101,37.3,81.6,45.8,9.4,25.8,36.3,17,21.7,78.1,8.7,31.3,40,24.9,15.3,8.3,4,4.3,19.2,20,-0.5,2013-14,Eastern,No,No
New York Knicks,82,37,45,0.451,48.4,98.6,36.9,82.2,44.9,9.3,24.9,37.2,15.5,20.4,76.1,10.6,29.7,40.3,20,13,7.7,4.5,3.4,22.1,19.6,-0.8,2013-14,Eastern,No,No
Denver Nuggets,82,36,46,0.439,48.2,104.4,38.4,85.9,44.7,8.6,23.9,35.8,19.1,26.3,72.6,12.3,33.1,45.4,22.4,15.9,7.5,5.6,5.6,23,21.7,-2.1,2013-14,Western,No,No
New Orleans Pelicans,82,34,48,0.415,48.4,99.7,37.8,82.5,45.9,5.9,15.9,37.3,18.2,23.6,76.9,11.4,30.3,41.7,21.3,13.8,7.9,6.4,6.1,22.6,20.3,-2.7,2013-14,Western,No,No
Cleveland Cavaliers,82,33,49,0.402,48.6,98.2,37,84.8,43.7,7.1,20,35.6,17,22.7,75.1,12.1,32.1,44.1,21.2,14.2,7.1,3.7,5.6,20,19.5,-3.3,2013-14,Eastern,No,No
Detroit Pistons,82,29,53,0.354,48.2,101,38.8,86.9,44.7,6.2,19.3,32.1,17.3,25.7,67,14.6,30.8,45.4,20.9,14.5,8.4,4.8,4.9,20.3,20.7,-3.7,2013-14,Eastern,No,No
Sacramento Kings,82,28,54,0.341,48.4,100.5,36.9,82.5,44.7,6,18,33.3,20.7,27.3,75.9,12.1,32.4,44.5,18.9,15.2,7.2,3.9,5.6,22.5,23.1,-2.9,2013-14,Western,No,No
Los Angeles Lakers,82,27,55,0.329,48.1,103,38.3,85.1,45,9.4,24.8,38.1,17,22.4,75.7,9.1,32,41,24.5,15.1,7.5,5.4,4.7,19.8,19.3,-6.3,2013-14,Western,No,No
Boston Celtics,82,25,57,0.305,48.1,96.2,36.5,83.9,43.5,7,21.1,33.3,16.2,20.8,77.7,12,30.5,42.5,21,15.4,7.1,4.2,4.5,21.3,19.1,-4.5,2013-14,Eastern,No,No
Utah Jazz,82,25,57,0.305,48.2,95,36,81.1,44.4,6.6,19.2,34.4,16.4,22,74.7,11,30.2,41.2,20.3,14.6,7,4.5,4.9,20.7,20.4,-7.2,2013-14,Western,No,No
Orlando Magic,82,23,59,0.28,48.7,96.5,36.9,82.7,44.5,6.9,19.5,35.3,15.9,20.9,76.3,9.7,32.4,42,21,14.9,7.7,4.3,5.4,20.5,18.3,-5.4,2013-14,Eastern,No,No
Philadelphia 76ers,82,19,63,0.232,48.4,99.5,37.9,87.2,43.5,7,22.5,31.2,16.6,23.4,71,11.6,31.2,42.7,21.8,16.9,9.3,4,6.8,22.5,20.6,-10.5,2013-14,Eastern,No,No
Milwaukee Bucks,82,15,67,0.183,48.5,95.5,36,82.2,43.8,6.7,18.9,35.3,16.8,22.5,74.7,11.8,29.3,41.1,21.5,15.1,6.6,4.9,5,20.9,20.6,-8.2,2013-14,Eastern,No,No
Miami Heat,82,66,16,0.805,48.5,102.9,38.4,77.4,49.6,8.7,22.1,39.6,17.4,23,75.4,8.2,30.4,38.6,23,13.9,8.7,5.4,3.2,18.7,20.4,7.9,2012-13,Eastern,Yes,Yes
Oklahoma City Thunder,82,60,22,0.732,48.4,105.7,38.1,79.3,48.1,7.3,19.4,37.7,22.2,26.8,82.8,10.4,33.2,43.6,21.4,15.3,8.3,7.6,3.9,20.2,20.7,9.2,2012-13,Eastern,No,Yes
San Antonio Spurs,82,58,24,0.707,48.5,103,39.1,81.4,48.1,8.1,21.5,37.6,16.6,21,79.1,8.1,33.2,41.3,25.1,14.7,8.5,5.4,4.9,17.4,19.1,6.4,2012-13,Western,Yes,Yes
Denver Nuggets,82,57,25,0.695,48.5,106.1,40.7,85.2,47.8,6.4,18.5,34.3,18.4,26.2,70.1,13.3,31.7,45,24.4,15.3,9.3,6.5,6.8,20.5,21.6,5.1,2012-13,Western,No,No
Los Angeles Clippers,82,56,26,0.683,48.1,101.1,38.5,80.6,47.8,7.6,21.4,35.8,16.4,23,71.1,11.4,30.2,41.6,23.9,14.6,9.6,5.6,4.1,20.9,20.9,6.5,2012-13,Western,No,No
Memphis Grizzlies,82,56,26,0.683,48.3,93.4,36.1,81.5,44.4,4.7,13.5,34.5,16.5,21.3,77.3,12.9,29.8,42.7,20.9,14,8.6,5.3,5.5,20.2,20,4.1,2012-13,Western,Yes,Yes
New York Knicks,82,54,28,0.659,48.1,100,36.5,81.6,44.8,10.9,28.9,37.6,16,21.1,75.9,10.9,29.7,40.6,19.3,12,8.2,3.6,4,20.1,19.2,4.2,2012-13,Eastern,No,Yes
Indiana Pacers,81,49,32,0.605,48.4,94.7,35.1,80.6,43.6,6.9,19.7,34.7,17.6,23.6,74.6,12.9,33,45.9,20.3,15.1,7.2,6.3,5.7,20,21.9,4,2012-13,Eastern,Yes,Yes
Brooklyn Nets,82,49,33,0.598,48.4,96.9,35.9,79.8,45,7.7,21.5,35.7,17.5,23.9,73.1,12.8,30,42.8,20.3,14.7,7.3,4.8,4.8,18.3,21.4,1.8,2012-13,Eastern,No,No
Golden State Warriors,82,47,35,0.573,48.3,101.2,38.2,83.4,45.8,8,19.9,40.3,16.8,21.3,79,10.8,34.2,45,22.5,15.1,6.9,4.2,4.9,21.4,19.2,0.9,2012-13,Western,No,Yes
Chicago Bulls,82,45,37,0.549,48.4,93.2,35.7,81.7,43.7,5.4,15.4,35.3,16.4,21.2,77.3,12.5,30.7,43.2,23,14.3,7.2,5.1,5.8,19.7,19.6,0.3,2012-13,Eastern,No,Yes
Houston Rockets,82,45,37,0.549,48.2,106,38.1,82.7,46.1,10.6,28.9,36.6,19.2,25.5,75.4,11.1,32.3,43.4,23.2,16.4,8.3,4.4,6.1,20.3,20.4,3.5,2012-13,Western,No,No
Los Angeles Lakers,82,45,37,0.549,48.2,102.2,37.1,81,45.8,8.7,24.6,35.5,19.3,27.9,69.2,11.5,33.3,44.8,22.2,15,7,5.2,4.8,17.9,23.1,1.2,2012-13,Western,No,No
Atlanta Hawks,82,44,38,0.537,48.4,98,37.6,81,46.4,8.6,23.2,37.1,14.1,19.7,71.5,9.2,31.6,40.9,24.5,14.9,8.1,4.5,4.3,18,18.8,0.4,2012-13,Eastern,No,No
Utah Jazz,82,43,39,0.524,48.5,98,37.1,81.8,45.4,6.2,16.9,36.6,17.5,23,76.4,12.1,30,42,22.7,14.8,8.4,6.3,5.9,21.3,20.4,-0.1,2012-13,Western,No,No
Boston Celtics,81,41,40,0.506,49,96.5,37,79.7,46.5,6.1,17.2,35.8,16.3,21,77.6,8.1,31.3,39.3,22.8,14.6,8.2,4.5,4.7,21.2,19.4,-0.2,2012-13,Eastern,No,No
Dallas Mavericks,82,41,41,0.5,48.7,101.1,38.8,84,46.2,7.4,19.9,37.2,16.1,20.4,79.3,9.4,32.6,41.9,23.2,14,7.9,5.5,4.1,20.7,18.9,-0.6,2012-13,Western,No,No
Milwaukee Bucks,82,38,44,0.463,48.4,98.9,38.1,87.8,43.5,7.3,20.4,36,15.3,20.7,73.6,13,30.9,44,22.9,14.1,8.4,6.7,4.4,19,19.1,-1.5,2012-13,Eastern,No,No
Philadelphia 76ers,82,34,48,0.415,48.2,93.2,37.3,84.1,44.4,6.3,17.5,36,12.2,16.8,72.9,10.9,30.4,41.3,22.8,13,7.4,4.7,4.8,18.4,16.2,-3.3,2012-13,Eastern,No,No
Toronto Raptors,82,34,48,0.415,48.7,97.2,36.3,81.5,44.6,7,20.3,34.3,17.6,22.3,78.8,10.6,29.6,40.2,21.5,13.7,7.3,4.8,4.7,22.4,20.1,-1.5,2012-13,Eastern,No,No
Portland Trail Blazers,82,33,49,0.402,48.4,97.5,36.7,81.9,44.8,8.2,23.2,35.3,15.9,20.5,77.6,10.7,30.2,40.8,21.8,14.7,6.6,4.3,4.4,18.5,18.7,-3.2,2012-13,Western,No,No
Minnesota Timberwolves,82,31,51,0.378,48.1,95.7,35.9,81.7,43.9,5.5,18,30.5,18.5,24.9,74.2,11.9,30.2,42,22.4,14.8,8.5,4.7,5.9,18.4,22.5,-2.4,2012-13,Western,No,No
Detroit Pistons,82,29,53,0.354,48.3,94.9,36.3,81,44.9,6.3,17.6,35.6,15.9,22.8,69.9,12.1,30,42.1,21.2,15.1,7,4.9,5.8,19.8,19.9,-4,2012-13,Eastern,No,No
Washington Wizards,82,29,53,0.354,48.4,93.2,35.5,81.6,43.5,6.6,18.2,36.5,15.6,21.3,73.3,10.8,32.3,43.2,21.6,15.1,7.3,4.6,4.4,20.5,19.1,-2.5,2012-13,Eastern,No,No
Sacramento Kings,82,28,54,0.341,48.4,100.2,37.6,84.2,44.7,7.4,20.5,36.3,17.5,22.8,76.9,11.5,29.1,40.6,20.8,14.6,8.2,4.2,6.3,20.9,20,-4.9,2012-13,Western,No,No
New Orleans Hornets,82,27,55,0.329,48.2,94.1,36,80.4,44.8,6.5,18,36.3,15.5,20,77.6,12,29.6,41.6,21,14.5,6.3,5.4,6,20.4,18.7,-3.9,2012-13,Western,No,No
Phoenix Suns,82,25,57,0.305,48.3,95.2,37.3,84.4,44.3,5.9,17.7,33,14.7,19.7,74.4,11.7,29.9,41.6,22.6,15.6,8,5.3,5.1,20.6,18.4,-6.5,2012-13,Western,No,No
Cleveland Cavaliers,82,24,58,0.293,48.1,96.5,36.5,84.2,43.4,6.7,19.3,34.6,16.8,22.3,75.6,12.2,28.8,41,20.7,14,7.9,4.1,6.8,21.2,19.7,-4.7,2012-13,Eastern,No,No
Charlotte Bobcats,82,21,61,0.256,48.3,93.4,34.4,81.1,42.5,5.7,17.1,33.5,18.9,25.1,75,11.2,29.1,40.3,19.4,14.1,7.2,5.8,6.9,19,21.3,-9.2,2012-13,Eastern,No,No
Orlando Magic,82,20,62,0.244,48.2,94.1,37.7,84.2,44.8,6.2,18.7,32.9,12.5,16.6,75.5,10.9,31.9,42.7,22.8,14.5,6.4,4.4,5.2,19.4,16.5,-7,2012-13,Eastern,No,No